Date,days,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20180508,91,0.129649,0.15644,-999,0.186417,0.162686,0.154626,0.162773,0.134885,0.120757,0.131273,0.144457,0.153057
20180509,91,0.125851,0.153362,-999,0.184304,0.167722,0.152388,0.159163,0.129448,0.113779,0.134806,0.146882,0.152326
20180510,91,0.118836,0.147788,-999,0.183859,0.160897,0.146733,0.152627,0.132338,0.10676,0.127079,0.139726,0.147711
20180511,91,0.112664,0.149551,-999,0.177668,0.155507,0.143974,0.150628,0.128672,0.113896,0.126689,0.135723,0.145336
20180514,91,0.110708,0.143683,-999,0.176415,0.153852,0.141518,0.150158,0.128916,0.111255,0.124026,0.132618,0.142096
20180515,91,0.118623,0.147498,-999,0.179878,0.160052,0.145923,0.157694,0.129041,0.114129,0.130748,0.139712,0.146405
20180516,91,0.114769,0.14821,-999,0.176816,0.156109,0.143078,0.152415,0.129951,0.115938,0.12715,0.135562,0.144175
20180517,91,0.116071,0.147743,-999,0.178695,0.157791,0.141841,0.157223,0.126952,0.11076,0.127474,0.135012,0.144826
20180518,91,0.118784,0.148701,-999,0.177709,0.15676,0.143326,0.157124,0.122798,0.109713,0.126358,0.135355,0.145264
20180521,91,0.111613,0.13985,-999,0.170736,0.155701,0.139223,0.151796,0.120416,0.111256,0.124797,0.132955,0.139344
20180522,91,0.113211,0.145991,-999,0.178795,0.157861,0.147658,0.15183,0.1171,0.108253,0.126011,0.129954,0.138825
20180523,91,0.109922,0.144046,-999,0.173696,0.157849,0.140338,0.146249,0.117316,0.112321,0.123889,0.126216,0.135929
20180524,91,0.109837,0.140373,-999,0.181838,0.162339,0.140175,0.146874,0.114288,0.107652,0.1186,0.125941,0.134804
20180525,91,0.112481,0.141835,-999,0.188643,0.160041,0.140948,0.147727,0.115045,0.103763,0.116356,0.128269,0.136971
20180529,91,0.131665,0.154864,-999,0.1957,0.180167,0.156573,0.160958,0.123968,0.111955,0.124413,0.144089,0.148916
20180530,91,0.120372,0.146773,-999,0.192187,0.168684,0.144827,0.152138,0.116323,0.109143,0.11834,0.131995,0.140881
20180531,91,0.122845,0.150529,-999,0.194861,0.173275,0.150955,0.149133,0.122915,0.111538,0.121359,0.136532,0.141942
20180601,91,0.11375,0.138045,-999,0.186827,0.157199,0.140879,0.138027,0.117056,0.104433,0.1193,0.123005,0.131734
20180604,91,0.111313,0.137269,-999,0.185742,0.159099,0.142168,0.139147,0.11616,0.103026,0.121298,0.128991,0.131184
20180605,91,0.111212,0.138955,-999,0.185367,0.159183,0.141779,0.142622,0.114956,0.109155,0.120331,0.129587,0.132796
20180606,91,0.104511,0.135877,-999,0.177925,0.158649,0.136606,0.136813,0.11189,0.102452,0.128597,0.121315,0.12985
20180607,91,0.105588,0.14605,-999,0.181575,0.158938,0.133093,0.139258,0.112543,0.10769,0.128119,0.119784,0.131328
20180608,91,0.105376,0.144337,-999,0.179751,0.159664,0.133886,0.144849,0.120657,0.103431,0.126652,0.122457,0.130489
20180611,91,0.109915,0.149684,-999,0.176552,0.164029,0.135515,0.145306,0.120954,0.111626,0.12936,0.123674,0.132011
20180612,91,0.108964,0.141586,-999,0.176425,0.158286,0.134136,0.143393,0.117035,0.109044,0.130349,0.122404,0.130206
20180613,91,0.110532,0.149994,-999,0.174244,0.16096,0.136789,0.149002,0.112819,0.120834,0.128512,0.123748,0.132362
20180614,91,0.109708,0.142918,-999,0.171273,0.15975,0.134694,0.144793,0.116404,0.123337,0.128615,0.121233,0.127181
20180615,91,0.108875,0.140891,-999,0.173117,0.155628,0.135616,0.145906,0.112033,0.125135,0.126383,0.124975,0.127674
20180618,91,0.111042,0.146509,-999,0.182334,0.162262,0.140376,0.150917,0.12223,0.123277,0.127515,0.126138,0.131966
20180619,91,0.115914,0.155015,-999,0.183402,0.163939,0.150962,0.154513,0.121617,0.121026,0.129956,0.128663,0.135499
20180620,91,0.113273,0.15295,-999,0.18687,0.163714,0.14582,0.154311,0.121619,0.123112,0.12851,0.124585,0.133401
20180621,91,0.119512,0.157959,-999,0.196661,0.171437,0.155783,0.162061,0.122853,0.125826,0.12692,0.130963,0.143649
20180622,91,0.117636,0.154977,0.207077,0.186958,0.170361,0.150092,0.1618,0.122431,0.131465,0.12362,0.127705,0.144649
20180625,91,0.136885,0.172666,0.24029,0.193406,0.182024,0.170097,0.183662,0.129714,0.140948,0.128542,0.14419,0.160956
20180626,91,0.131296,0.161044,0.226901,0.190924,0.178422,0.162428,0.175989,0.126296,0.137099,0.126033,0.136795,0.154875
20180627,91,0.143612,0.18056,0.246856,0.197293,0.190128,0.175963,0.191318,0.133503,0.14533,0.130521,0.146757,0.168541
20180628,91,0.135221,0.167383,0.232807,0.195451,0.186105,0.16882,0.178517,0.128515,0.136208,0.12833,0.144941,0.162279
20180629,91,0.134197,0.171104,0.22638,0.201168,0.177717,0.167371,0.179859,0.12545,0.134679,0.127313,0.142827,0.158398
